367.9599915,76.09268188,745.0700073,1.631891847,,,,,,,
370,68.55493927,747.039978,1.167542338,,,,,,,
371.9599915,60.18360901,749.0100098,1.41259563,,,,,,,
373.9299927,58.18463898,750.9799805,0.5766347647,,,,,,,
376.0599976,55.57842636,753.0900269,1.070536494,,,,,,,
378.0299988,53.68421173,755.0700073,1.206709266,,,,,,,
380,54.59283447,757.039978,0.8018327355,,,,,,,
382,57.00836563,759.0100098,1.353013515,,,,,,,
384,58.41065979,760.9699707,0.7054673433,,,,,,,
386,62.25546265,763.0499878,1.24900651,,,,,,,
388,64.75822449,765,1.265385866,,,,,,,
390,66.51820374,767.0800171,1.16482234,,,,,,,
392,69.44187164,769.0200195,1.256855607,,,,,,,
394,69.3340683,770.9699707,0.9426181316,,,,,,,
396,69.0894928,773.0499878,0.9138679504,,,,,,,
398,72.3542099,775,1.15154314,,,,,,,
400,70.59925079,777.0800171,1.025874853,,,,,,,
402,73.47436523,779.0200195,0.7049700618,,,,,,,
404,70.65573883,780.9699707,1.035434842,,,,,,,
406,69.72610474,783.0499878,0.1171508953,,,,,,,
408,67.32118225,785,1.140250802,,,,,,,
410,67.28630829,787.0800171,0.4622674286,,,,,,,
411.9599915,66.4237442,789.0200195,0.1155268028,,,,,,,
413.9299927,65.72673035,790.9699707,1.033532381,,,,,,,
416.0599976,70.40759277,793.0499878,-0.341219306,,,,,,,
418.0299988,67.5229187,795,0.7841379642,,,,,,,
420,63.72982407,797.0800171,1.136880398,,,,,,,
422,60.75778961,799.0200195,-0.4649000466,,,,,,,
424,59.24914169,801.0900269,1.49976933,,,,,,,
426,53.30565643,803.0100098,0.1165229529,,,,,,,
428,51.00512695,805.0599976,0.2261164486,,,,,,,
430,47.6538887,806.9799805,1.026459813,,,,,,,
431.9599915,45.4723053,809.039978,0.921446681,,,,,,,
433.9299927,40.14616394,811.0900269,-0.4574042261,,,,,,,
436.0599976,37.50577164,813.0100098,1.407459497,,,,,,,
438.0299988,35.84181595,815.0599976,0.3429747224,,,,,,,
440,32.0177803,816.9799805,0.1142596006,,,,,,,
441.9599915,30.10492897,819.039978,0.8136696219,,,,,,,
443.9299927,31.5102787,821.0800171,0.8097165823,,,,,,,
446.0599976,29.97295952,822.9699707,0.3472624123,,,,,,,
448.0299988,31.82553101,825,0.462588191,,,,,,,
450,33.57282257,827.0200195,0.8144269586,,,,,,,
451.9599915,36.75532532,829.0499878,0.3478260636,,,,,,,
453.9299927,40.26639557,831.0800171,0.693240881,,,,,,,
456.0599976,45.67467117,832.9699707,0.3493653238,,,,,,,
458.0299988,51.67885971,835,0.2303616703,,,,,,,
460,55.74054718,837.0200195,0.930773735,,,,,,,
461.9599915,59.55614853,839.0499878,0,,,,,,,
463.9299927,70.6553421,841.0800171,0.3469411433,,,,,,,
466.0599976,81.13717651,842.9699707,-0.1139990836,,,,,,,
468.0299988,88.09539795,845,0.2329102159,,,,,,,
470,98.41361237,847.0200195,0.8071955442,,,,,,,
471.9599915,107.8053436,849.0499878,-0.2305209786,,,,,,,
473.9299927,115.3387985,851.0800171,0.4596644342,,,,,,,
476.0599976,126.5255051,,,,,,,,,
478.0299988,137.028595,,,,,,,,,
480,161.9478302,,,,,,,,,
481.9400024,169.4444427,,,,,,,,,
484.019989,164.6237183,,,,,,,,,
485.9700012,168.3603058,,,,,,,,,
488.0499878,179.1661377,,,,,,,,,
490,189.2586517,,,,,,,,,
491.9599915,191.1044769,,,,,,,,,
493.9299927,202.4253235,,,,,,,,,
496.0599976,225.0127869,,,,,,,,,
498.0299988,236.7251587,,,,,,,,,
500,240.0346527,,,,,,,,,
501.9400024,248.5431366,,,,,,,,,
504.019989,252.0984955,,,,,,,,,
505.9700012,249.5152435,,,,,,,,,
508.0499878,249.141037,,,,,,,,,
510,243.627655,,,,,,,,,
511.9400024,244.5643311,,,,,,,,,
514.0200195,235.3040619,,,,,,,,,
515.9699707,250.6327057,,,,,,,,,
518.0499878,231.0800781,,,,,,,,,
520,224.6840363,,,,,,,,,
521.9400024,230.1147461,,,,,,,,,
524.0200195,241.1622925,,,,,,,,,
525.9699707,241.0337677,,,,,,,,,
528.0499878,226.3101349,,,,,,,,,
530,223.026474,,,,,,,,,
531.9400024,229.6670685,,,,,,,,,
534.0200195,221.4178314,,,,,,,,,
535.9699707,214.1693878,,,,,,,,,
538.0499878,208.1645508,,,,,,,,,
540,199.3661957,,,,,,,,,
541.9400024,185.369812,,,,,,,,,
544.0200195,170.834137,,,,,,,,,
545.9699707,159.8448029,,,,,,,,,
548.0499878,152.6681671,,,,,,,,,
550,148.6344452,,,,,,,,,
551.9400024,149.8135834,,,,,,,,,
554.0200195,150.6276093,,,,,,,,,
555.9699707,155.1832733,,,,,,,,,
558.0499878,173.2931213,,,,,,,,,
560,189.2558594,,,,,,,,,
562.0499878,215.3143158,,,,,,,,,
563.9699707,247.3218994,,,,,,,,,
566.0200195,270.1236267,,,,,,,,,
567.9400024,294.3684998,,,,,,,,,
570,324.31073,,,,,,,,,
572.0499878,337.9667664,,,,,,,,,
573.9699707,324.3925781,,,,,,,,,
576.0200195,306.8996887,,,,,,,,,
577.9400024,269.3662109,,,,,,,,,
580,240.4761963,,,,,,,,,
582.0499878,203.6130219,,,,,,,,,
583.9699707,171.0344849,,,,,,,,,
586.0200195,132.9870148,,,,,,,,,
587.9400024,103.2974396,,,,,,,,,
590,82.6364975,,,,,,,,,
592.0499878,58.49714661,,,,,,,,,
593.9699707,43.42105103,,,,,,,,,
596.0200195,32.39831543,,,,,,,,,
597.9400024,22.74044037,,,,,,,,,
600,17.91044617,,,,,,,,,
602.0499878,13.54592991,,,,,,,,,
603.9699707,10.15965176,,,,,,,,,
606.0200195,7.565337181,,,,,,,,,
607.9400024,5.431675434,,,,,,,,,
610,4.965393066,,,,,,,,,
612.0499878,2.545392752,,,,,,,,,
613.9699707,2.702702761,,,,,,,,,
616.0200195,2.429641485,,,,,,,,,
617.9400024,2.515195847,,,,,,,,,
620,1.704666495,,,,,,,,,
622.0200195,3.378378391,,,,,,,,,
624.0499878,1.576044083,,,,,,,,,
625.9400024,1.847063184,,,,,,,,,
627.9699707,2.470073938,,,,,,,,,
630,0.6322444677,,,,,,,,,
632.0200195,2.31140995,,,,,,,,,
634.0499878,2.382499456,,,,,,,,,
635.9400024,1.149425268,,,,,,,,,
637.9699707,0.5002501607,,,,,,,,,
640,0.5228757858,,,,,,,,,
642.0200195,2.478656054,,,,,,,,,
644.0499878,1.687763691,,,,,,,,,
645.9400024,1.119507313,,,,,,,,,
647.9699707,-0.5616400242,,,,,,,,,
650,0.5437738299,,,,,,,,,
652.0200195,3.801249027,,,,,,,,,
654.0499878,1.105277658,,,,,,,,,
655.9400024,0.762001574,,,,,,,,,
657.9699707,2.081406116,,,,,,,,,
660,1.162250042,,,,,,,,,
662,1.933167696,,,,,,,,,
664,1.52858448,,,,,,,,,
666,0.3196930885,,,,,,,,,
668,1.539408803,,,,,,,,,
670,1.239157438,,,,,,,,,
672,1.300813079,,,,,,,,,
674,2.286087513,,,,,,,,,
676,0.6327111721,,,,,,,,,
678,1.969611764,,,,,,,,,
680,1.980758309,,,,,,,,,
682.0200195,1.195100188,,,,,,,,,
684.0499878,-0.6321112514,,,,,,,,,
685.9400024,-0.3328894675,,,,,,,,,
687.9699707,0.33322227,,,,,,,,,
690,1.612903237,,,,,,,,,
691.9699707,2.627257824,,,,,,,,,
693.9400024,0.3096933961,,,,,,,,,
696.0499878,2.707092524,,,,,,,,,
698.0200195,2.434867144,,,,,,,,,
700,1.55440414,,,,,,,,,
702,0.9466708899,,,,,,,,,
704,3.321033239,,,,,,,,,
706,1.907668829,,,,,,,,,
708,1.527300477,,,,,,,,,
710,0.8054772615,,,,,,,,,
711.9699707,5.21878767,,,,,,,,,
713.9400024,1.182965398,,,,,,,,,
716.0499878,-0.4128819406,,,,,,,,,
718.0200195,4.51060009,,,,,,,,,
720,0,,,,,,,,,
721.9699707,-2.366863966,,,,,,,,,
723.9400024,5.312869072,,,,,,,,,
726.0499878,-0.5963029265,,,,,,,,,
728.0200195,-1.754385948,,,,,,,,,
730,3.4383955,,,,,,,,,
731.9699707,4.098360538,,,,,,,,,
733.9400024,4.326328754,,,,,,,,,
736.0499878,2.672010899,,,,,,,,,
738.0200195,-0.7037297487,,,,,,,,,
740,0.747384131,,,,,,,,,
741.9699707,3.021147966,,,,,,,,,
743.9400024,0.7968127728,,,,,,,,,
746.0499878,3.968254089,,,,,,,,,
748.0200195,5.700325489,,,,,,,,,
750,-0.8143322468,,,,,,,,,
751.9400024,-5.84795332,,,,,,,,,
754.0200195,0,,,,,,,,,
755.9699707,-1.77147913,,,,,,,,,
758.0499878,-1.77935946,,,,,,,,,
760,-2.597402573,,,,,,,,,
761.9400024,0,,,,,,,,,
764.0200195,0,,,,,,,,,
765.9699707,4.363001823,,,,,,,,,
768.0499878,4.906771183,,,,,,,,,
770,-3.105590105,,,,,,,,,
771.9400024,4.390779495,,,,,,,,,
774.0200195,2.217294931,,,,,,,,,
775.9699707,-2.181025028,,,,,,,,,
778.0499878,2.219755888,,,,,,,,,
780,6.841505051,,,,,,,,,
781.9400024,4.689331532,,,,,,,,,
784.0200195,2.392344475,,,,,,,,,
785.9699707,1.170960188,,,,,,,,,
788.0499878,4.499437809,,,,,,,,,
790,6.818181992,,,,,,,,,
792.0499878,0,,,,,,,,,
793.9699707,5.760368824,,,,,,,,,
796.0200195,0,,,,,,,,,
797.9400024,3.537735939,,,,,,,,,
800,-4.716981411,,,,,,,,,
802.0499878,-7.317073345,,,,,,,,,
803.9699707,4.889975548,,,,,,,,,
806.0200195,0,,,,,,,,,
807.9400024,0,,,,,,,,,
810,2.702702761,,,,,,,,,
812.0200195,5.517241478,,,,,,,,,
814.0499878,-2.770082951,,,,,,,,,
815.9400024,9.859154701,,,,,,,,,
817.9699707,4.807692528,,,,,,,,,
820,2.415458918,,,,,,,,,
822.0499878,-2.664890051,,,,,,,,,
823.9699707,1.492537379,,,,,,,,,
826.0200195,0.949667573,,,,,,,,,
827.9400024,-1.187648535,,,,,,,,,
830,4.70957613,,,,,,,,,
832.0200195,-3.327786922,,,,,,,,,
834.0499878,16.18704987,,,,,,,,,
835.9400024,19.51219559,,,,,,,,,
837.9699707,3.412969112,,,,,,,,,
840,12.87553692,,,,,,,,,
842,26.8817215,,,,,,,,,
844,31.49606323,,,,,,,,,
846,-8.849557877,,,,,,,,,
848,-22.47191048,,,,,,,,,
850,0,,,,,,,,,

Prescan_EX,
Prescan_EX
Collection Time: 2018-1-5 15:06:48
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2018-1-5 15:05:27
Method Modifications:
Data interval: Changed: 2018-1-5 15:06:19, Old:   1.00, New:   2.00
Overlayed Graphs Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Scan mode: Changed: 2018-1-5 15:06:19, Old:Emission, New:Excitation
Stop Wavelength Changed: 2018-1-5 15:06:19, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 2018-1-5 15:06:19, Old: 350.00, New: 200.00
Zero Order Emission Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Emission Wavelength Changed: 2018-1-5 15:06:19, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:22, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:22, Old: 600, New: 540
Emission Wavelength Changed: 2018-1-5 15:06:22, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:23, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:24, Old: 540, New: 480
Emission Wavelength Changed: 2018-1-5 15:06:24, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:25, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:45, Old: 480, New: 420
Emission Wavelength Changed: 2018-1-5 15:06:45, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:48, Old:   0.00, New: 400.00
End Method Modifications

Prescan_EM,
Prescan_EM
Collection Time: 2018-1-5 15:07:41
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               350.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2018-1-5 15:05:27
Method Modifications:
Data interval: Changed: 2018-1-5 15:06:19, Old:   1.00, New:   2.00
Overlayed Graphs Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Scan mode: Changed: 2018-1-5 15:06:19, Old:Emission, New:Excitation
Stop Wavelength Changed: 2018-1-5 15:06:19, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 2018-1-5 15:06:19, Old: 350.00, New: 200.00
Zero Order Emission Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Emission Wavelength Changed: 2018-1-5 15:06:19, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:22, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:22, Old: 600, New: 540
Emission Wavelength Changed: 2018-1-5 15:06:22, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:23, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:24, Old: 540, New: 480
Emission Wavelength Changed: 2018-1-5 15:06:24, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:25, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:45, Old: 480, New: 420
Emission Wavelength Changed: 2018-1-5 15:06:45, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:48, Old:   0.00, New: 400.00
Zero Order Emission Changed: 2018-1-5 15:07:24, Old:ON, New:OFF
Scan mode: Changed: 2018-1-5 15:07:24, Old:Excitation, New:Emission
Emission Wavelength Changed: 2018-1-5 15:07:24, Old: 400.00, New: 577.05
Excitation Wavelength Changed: 2018-1-5 15:07:24, Old: 200.00, New: 572.05
Emission PMT (V): Changed: 2018-1-5 15:07:40, Old: 420, New: 500
End Method Modifications

3,
3
Collection Time: 2018-1-5 15:08:39
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL05093147
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        585.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               572.05
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   500
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2018-1-5 15:05:27
Method Modifications:
Data interval: Changed: 2018-1-5 15:06:19, Old:   1.00, New:   2.00
Overlayed Graphs Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Scan mode: Changed: 2018-1-5 15:06:19, Old:Emission, New:Excitation
Stop Wavelength Changed: 2018-1-5 15:06:19, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 2018-1-5 15:06:19, Old: 350.00, New: 200.00
Zero Order Emission Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Emission Wavelength Changed: 2018-1-5 15:06:19, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:22, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:22, Old: 600, New: 540
Emission Wavelength Changed: 2018-1-5 15:06:22, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:23, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:24, Old: 540, New: 480
Emission Wavelength Changed: 2018-1-5 15:06:24, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:25, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:45, Old: 480, New: 420
Emission Wavelength Changed: 2018-1-5 15:06:45, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:48, Old:   0.00, New: 400.00
Zero Order Emission Changed: 2018-1-5 15:07:24, Old:ON, New:OFF
Scan mode: Changed: 2018-1-5 15:07:24, Old:Excitation, New:Emission
Emission Wavelength Changed: 2018-1-5 15:07:24, Old: 400.00, New: 577.05
Excitation Wavelength Changed: 2018-1-5 15:07:24, Old: 200.00, New: 572.05
Emission PMT (V): Changed: 2018-1-5 15:07:40, Old: 420, New: 500
Emission Wavelength Changed: 2018-1-5 15:08:11, Old: 577.05, New: 585.00
Stop Wavelength Changed: 2018-1-5 15:08:11, Old: 850.00, New: 600.00
Data interval: Changed: 2018-1-5 15:08:11, Old:   2.00, New:   1.00
Overlayed Graphs Changed: 2018-1-5 15:08:11, Old:ON, New:OFF
PMT Volts Changed: 2018-1-5 15:08:11, Old:600, New:500
User Delta Stop Changed: 2018-1-5 15:08:23, Old: 450.00, New: 572.05
User Delta Increment Changed: 2018-1-5 15:08:23, Old:  10.00, New:   0.15
End Method Modifications

4,
4
Collection Time: 2018-1-5 15:09:39
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL05093147
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        570.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               560.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   500
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2018-1-5 15:05:27
Method Modifications:
Data interval: Changed: 2018-1-5 15:06:19, Old:   1.00, New:   2.00
Overlayed Graphs Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Scan mode: Changed: 2018-1-5 15:06:19, Old:Emission, New:Excitation
Stop Wavelength Changed: 2018-1-5 15:06:19, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 2018-1-5 15:06:19, Old: 350.00, New: 200.00
Zero Order Emission Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Emission Wavelength Changed: 2018-1-5 15:06:19, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:22, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:22, Old: 600, New: 540
Emission Wavelength Changed: 2018-1-5 15:06:22, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:23, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:24, Old: 540, New: 480
Emission Wavelength Changed: 2018-1-5 15:06:24, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:25, Old:   0.00, New: 400.00
